"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene1",0.464890295602566,0.665714027115846,-133.163830742306,-135.470399058172,7,2,240.475185775018,0,0,FALSE
"gene2",0.506876098729915,0.692120519326996,-144.833825414194,-146.984563211431,7,2,369.165622011706,0,0,FALSE
"gene3",0.672618804222378,0.813651779301264,-160.433041484635,-162.021867145687,7,2,550.225630382966,0,0,FALSE
"gene4",0.508708581705342,0.692120519326996,-168.031146073226,-170.175255390218,7,2,932.34167314444,0,0,FALSE
"gene5",0.773319400415542,0.887253631366565,-132.412279675404,-133.672812016889,7,2,184.253624734807,0,0,FALSE
"gene6",0.132208434673602,0.272594710667221,-168.97046697142,-173.205008138435,7,2,852.621910937066,0,0,FALSE
"gene7",0.71154872966728,0.835477960470388,-168.882863384148,-170.34535949554,7,2,957.7597238815,0,0,FALSE
"gene8",0.57375034597535,0.735577366635064,-161.443838573121,-163.360173164895,7,2,638.206359182493,0,0,FALSE
"gene9",0.280571109173777,0.472031466649095,-155.315070340066,-158.451475111108,7,2,558.277304580879,0,0,FALSE
"gene10",0.895058238302933,0.935441554768122,-104.48788922813,-105.313210914451,7,2,58.5766104476936,0,0,FALSE
"gene11",0.268748602328119,0.458094208513838,-136.812751607042,-140.015432271108,7,2,237.51555386429,0,0,FALSE
"gene12",0.0368938551369528,0.0997131219917642,-123.720347259423,-129.645626501081,7,2,162.682442434397,0,0,FALSE
"gene13",0.528507305313089,0.710996374860657,-155.505051173113,-157.578354207801,7,2,634.682259289952,0,0,FALSE
"gene14",0.0540660628767949,0.136876108548848,-136.452710650175,-141.88658620063,7,2,326.048722799172,0,0,FALSE
"gene15",0.0643009395416912,0.154942022992027,-153.86613168101,-159.073509364768,7,2,684.346752771811,0,0,FALSE
"gene16",0.396089882338785,0.601655517476635,-151.187021549469,-153.769467931137,7,2,489.511362345942,0,0,FALSE
"gene17",0.687739174709991,0.821952387150753,-162.510560677019,-164.05028293047,7,2,721.773580498272,0,0,FALSE
"gene18",0.972205770865852,0.985229511901967,-167.484663972334,-167.920733541997,7,2,872.613932366332,0,0,FALSE
"gene19",0.121321769590976,0.254521194946104,-144.32212300981,-148.675799751067,7,2,366.898852067633,0,0,FALSE
"gene20",0.370222476104799,0.571037238207917,-161.741895461521,-164.436611219199,7,2,750.439739998467,0,0,FALSE
"gene21",0.654943637297685,0.80203077826376,-168.501964155397,-170.148365920728,7,2,860.583006305227,0,0,FALSE
