"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene1",5.44768806513563e-15,8.38105856174713e-14,-123.563270698226,-161.619937066318,7,2,154.226510538909,0,0,FALSE
"gene2",0.783365463906938,0.826770938160357,-138.971756449989,-140.198892563551,7,2,316.890486829059,0,0,FALSE
"gene3",1.43334237840671e-05,6.09932926981577e-05,-171.998869963544,-187.030367070371,7,2,941.008162128995,0,0,FALSE
"gene4",8.57498683052503e-18,1.63333082486191e-16,-146.6056755747,-191.353571525822,7,2,508.976145657598,0,0,FALSE
"gene5",0.34249904746575,0.430816411906604,-120.115276356555,-122.936875263066,7,2,179.642772986375,0,0,FALSE
"gene6",0.115055254144355,0.188615170728452,-157.212143962166,-161.638857166366,7,2,878.670956222085,0,0,FALSE
"gene7",0.000226145968908841,0.000760154517340641,-164.861518490024,-176.815445176001,7,2,1228.03931798895,0,0,FALSE
"gene8",0.677492887470033,0.738411866452352,-151.113144666773,-152.686130460856,7,2,552.704912963342,0,0,FALSE
"gene9",0.0024378987335565,0.00645800989021589,-174.614485053468,-183.836755467826,7,2,1177.18504377839,0,0,FALSE
"gene10",0.102832207009505,0.170675862256439,-95.616597059516,-100.196832050781,7,2,54.6146926127676,0,0,FALSE
"gene11",0.258493899283517,0.344658532378023,-135.208401105833,-138.470521393503,7,2,216.870568705424,0,0,FALSE
"gene12",0.0336962839510399,0.0626907608391441,-138.41342374927,-144.453860132717,7,2,239.733750207593,0,0,FALSE
"gene13",0.66718578367359,0.729164790900099,-150.64771808267,-152.254216703266,7,2,473.324313796551,0,0,FALSE
"gene14",1.64298983533346e-36,1.09532655688897e-34,-119.516031683074,-208.375308055384,7,2,189.043179026621,0,0,FALSE
"gene15",6.6022650320661e-06,3.03552415267407e-05,-172.434492617829,-188.318772982435,7,2,1226.22186200666,0,0,FALSE
"gene16",0.683576762347504,0.74301821994294,-157.121707286356,-158.674937649881,7,2,545.233585668531,0,0,FALSE
"gene17",0.453456837191822,0.525747057613707,-166.400920818255,-168.751388899504,7,2,911.124280934282,0,0,FALSE
"gene18",0.146319554348328,0.223916890660742,-166.595726778212,-170.688330369713,7,2,1003.47276914476,0,0,FALSE
"gene19",0.0313013769557045,0.0596216703918181,-152.294703508718,-158.428425196702,7,2,564.490156813623,0,0,FALSE
"gene20",0.00581006933536698,0.0137516433973183,-165.017654837867,-173.213560504623,7,2,868.3061107548,0,0,FALSE
"gene21",8.85480476209988e-07,4.78638095248642e-06,-182.773919489252,-200.850041552007,7,2,1939.05241526149,0,0,FALSE
"gene22",2.41013127493818e-11,2.29536311898874e-10,-118.72705087026,-148.007269413802,7,2,127.594265863493,0,0,FALSE
"gene23",2.36912397762803e-07,1.48070248601752e-06,-165.21999625297,-184.722594490187,7,2,1182.2003585844,0,0,FALSE
"gene24",9.28603638591945e-11,8.25425456526174e-10,-131.156849426583,-159.016186374956,7,2,228.618520779534,0,0,FALSE
"gene25",0.655156796504068,0.717980050963362,-130.996604364531,-132.642310230652,7,2,230.73736953567,0,0,FALSE
"gene26",0.788609107457329,0.830114849955083,-147.422089190629,-148.631697114986,7,2,517.441984809876,0,0,FALSE
"gene27",0.209463723408727,0.290921838067676,-75.3867314015053,-78.9635420093042,7,2,16.2633298295085,0,0,FALSE
"gene28",6.06843787313269e-06,2.8557354697095e-05,-133.319633094533,-149.296405703184,7,2,259.36735897903,0,0,FALSE
"gene29",2.7841075059657e-12,3.09345278440634e-11,-164.462755192698,-196.009534191048,7,2,1146.1980305635,0,0,FALSE
"gene30",0.039932969460566,0.0732715035973688,-145.360608273132,-151.184917887889,7,2,399.840162946477,0,0,FALSE
"gene31",0.00828066462731919,0.0185042784968027,-160.993195168563,-168.764233722492,7,2,605.981907774256,0,0,FALSE
"gene32",0.0143250021462762,0.0298651893580198,-155.648112193147,-162.753460998791,7,2,699.404565123124,0,0,FALSE
"gene33",0.183411791065319,0.262117653718388,-163.008411550196,-166.778915722702,7,2,755.488056192602,0,0,FALSE
