Name;Original table;Type;Time course;DOI
Next maSigpro;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/bioinformatics/btu333
DyNB;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/bioinformatics/btu274
EBSeq-HMM;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/bioinformatics/btv193
Ngsp;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/bioinformatics/btu699
Lmms;Table 1;Dynamic gene-by-gene;Non-periodical;10.1371/journal.pone.0134540
timeSeq;Table 1;Dynamic gene-by-gene;Non-periodical;10.1186/s12859-016-1180-9
splineTimeR;Table 1;Dynamic gene-by-gene;Non-periodical;10.1371/journal.pone.0160791
ImpluseDE2;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/nar/gky675
Trendy;Table 1;Dynamic gene-by-gene;Non-periodical;10.1186/s12859-018-2405-x
AR;Table 1;Dynamic gene-by-gene;Non-periodical;10.1038/s41598-018-37397-7
MAPTest;Table 1;Dynamic gene-by-gene;Non-periodical;10.1111/biom.13144
TimeMeter;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/nar/gkaa142
PairGP;Table 1;Dynamic gene-by-gene;Non-periodical;10.1016/j.compbiomed.2022.105268
GPrank;Table 1;Dynamic gene-by-gene;Non-periodical;10.1186/s12859-018-2370-4
Dream;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/bioinformatics/btaa687
rmRNAseq;Table 1;Dynamic gene-by-gene;Non-periodical;10.1093/bioinformatics/btaa525
JTK_CYCLE;Table 2;Dynamic gene-by-gene;Periodical;10.1177/0748730410379711
MetaCycle;Table 2;Dynamic gene-by-gene;Periodical;10.1093/bioinformatics/btw405
RAIN;Table 2;Dynamic gene-by-gene;Periodical;10.1177/0748730414553029
DODR;Table 2;Dynamic gene-by-gene;Periodical;10.1093/bioinformatics/btw309
LimoRhyde;Table 2;Dynamic gene-by-gene;Periodical;10.1177/0748730418813785
Tcgsaseq;Table 4;Coherent gene-to-gene;Non-periodical;10.1093/biostatistics/kxx005
FunPat;Table 4;Coherent gene-to-gene;Non-periodical;10.1186/1471-2164-16-S6-S2
DPGP;Table 4;Coherent gene-to-gene;Non-periodical;10.1371/journal.pcbi.1005896
LPWC;Table 4;Coherent gene-to-gene;Non-periodical;10.1186/s12859-019-3324-1
